offer_id,customer_id,campaign_id,product_name,lead_source,decile_group,loan_amount,interest_rate
OFFER-00020,CUST-0119ADD3,CMP-002,Personal Loan,Organic_Web_Form,7,20000,6.99
OFFER-00021,CUST-012530CF,CMP-002,Personal Loan,Organic_Web_Form,7,12000,8.49
OFFER-00022,CUST-012EC66F,CMP-001,Signature Credit Card,Cold_Bought_List,2,1500,21.99
OFFER-00023,CUST-012EC66F,CMP-007,Signature Credit Card,Cold_Bought_List,2,1500,21.99
OFFER-00024,CUST-01348EA8,CMP-006,Personal Loan,Cold_Bought_List,2,5000,14.99
OFFER-00025,CUST-013E379C,CMP-003,Personal Loan,Organic_Web_Form,5,5000,12.5
OFFER-00026,CUST-014162FE,CMP-001,Personal Loan,Partner_Referral,8,25000,7.49
OFFER-00027,CUST-0152538F,CMP-002,Signature Credit Card,Partner_Referral,7,10000,12.99
OFFER-00028,CUST-0186696E,CMP-006,Personal Loan,Organic_Web_Form,7,6000,9.49
OFFER-00029,CUST-019A2039,CMP-002,Signature Credit Card,Partner_Referral,8,3000,13.99
OFFER-00030,CUST-019A2039,CMP-003,Signature Credit Card,Partner_Referral,10,10000,9.99
OFFER-00031,CUST-019A2039,CMP-009,Personal Loan,Partner_Referral,10,25000,6.49
OFFER-00032,CUST-019A2039,CMP-010,Signature Credit Card,Cold_Bought_List,1,1000,22.99
OFFER-00033,CUST-01A93614,CMP-002,Signature Credit Card,Organic_Web_Form,7,6000,11.99
OFFER-00034,CUST-01B4482C,CMP-002,Personal Loan,Partner_Referral,10,20000,6.99
OFFER-00035,CUST-01BCD7CB,CMP-002,Personal Loan,Organic_Web_Form,5,12000,9.49
OFFER-00036,CUST-01D2B8EB,CMP-002,Personal Loan,Organic_Web_Form,1,2000,14.99
OFFER-00037,CUST-01D3F213,CMP-003,Signature Credit Card,Cold_Bought_List,1,3000,24.99
OFFER-00038,CUST-01E245DF,CMP-001,Signature Credit Card,Organic_Web_Form,10,10000,12.99
OFFER-00039,CUST-01ECAC3D,CMP-003,Signature Credit Card,Partner_Referral,10,6000,13.99
OFFER-00040,CUST-01FB0C50,CMP-002,Signature Credit Card,Cold_Bought_List,4,1500,18.49
OFFER-00041,CUST-01FB0C50,CMP-009,Signature Credit Card,Partner_Referral,10,7500,5.99
OFFER-00042,CUST-021198E7,CMP-008,Signature Credit Card,Cold_Bought_List,2,1500,21.99
OFFER-00043,CUST-0211ED9D,CMP-001,Signature Credit Card,Organic_Web_Form,9,7500,12.49
OFFER-00044,CUST-02139308,CMP-002,Signature Credit Card,Cold_Bought_List,7,7500,16.99
OFFER-00045,CUST-02368289,CMP-008,Signature Credit Card,Organic_Web_Form,10,10000,12.99
OFFER-00046,CUST-02470756,CMP-002,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00047,CUST-024AC830,CMP-009,Signature Credit Card,Cold_Bought_List,1,200,24.99
OFFER-00048,CUST-024DC371,CMP-006,Personal Loan,Partner_Referral,9,25000,14.5
OFFER-00049,CUST-02554E57,CMP-007,Signature Credit Card,Cold_Bought_List,2,3000,18.99
OFFER-00050,CUST-025F2B5B,CMP-002,Personal Loan,Cold_Bought_List,1,2000,18.99
OFFER-00051,CUST-026124BE,CMP-006,Personal Loan,Partner_Referral,4,6000,12.99
OFFER-00052,CUST-0272EFEF,CMP-008,Personal Loan,Organic_Web_Form,4,6000,10.99
OFFER-00053,CUST-0281D64C,CMP-002,Signature Credit Card,Organic_Web_Form,5,6000,15.99
OFFER-00054,CUST-0281D64C,CMP-003,Signature Credit Card,Partner_Referral,7,6000,15.49
OFFER-00055,CUST-02843E58,CMP-006,Personal Loan,Cold_Bought_List,1,5000,14.99
OFFER-00056,CUST-02849BDD,CMP-003,Signature Credit Card,Cold_Bought_List,1,500,24.99
OFFER-00057,CUST-0292C658,CMP-006,Personal Loan,Cold_Bought_List,1,2000,24.99
OFFER-00058,CUST-029D4DFA,CMP-003,Signature Credit Card,Cold_Bought_List,1,1000,24.99
OFFER-00059,CUST-02B15963,CMP-002,Personal Loan,Organic_Web_Form,5,3000,11.49
OFFER-00060,CUST-02E06A6C,CMP-001,Signature Credit Card,Cold_Bought_List,1,4000,21.99
OFFER-00061,CUST-0304F584,CMP-002,Signature Credit Card,Cold_Bought_List,1,1000,22.99
OFFER-00062,CUST-0304F584,CMP-003,Personal Loan,Organic_Web_Form,5,15000,12.5
OFFER-00063,CUST-030F46CC,CMP-002,Personal Loan,Organic_Web_Form,2,5000,12.99
OFFER-00064,CUST-031CA7A2,CMP-002,Personal Loan,Cold_Bought_List,7,8000,9.49
OFFER-00065,CUST-031DB323,CMP-002,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00066,CUST-0339D154,CMP-002,Signature Credit Card,Organic_Web_Form,9,5000,11.99
OFFER-00067,CUST-03411670,CMP-001,Signature Credit Card,Cold_Bought_List,1,1000,24.99
OFFER-00068,CUST-03471176,CMP-001,Signature Credit Card,Organic_Web_Form,10,7500,14.99
OFFER-00069,CUST-03471176,CMP-007,Signature Credit Card,Organic_Web_Form,4,3000,16.99
OFFER-00070,CUST-03578640,CMP-006,Personal Loan,Cold_Bought_List,9,20000,6.99
OFFER-00071,CUST-036324B0,CMP-006,Personal Loan,Cold_Bought_List,4,15000,12.5
OFFER-00072,CUST-03697B03,CMP-004,Signature Credit Card,Organic_Web_Form,9,7500,11.99
OFFER-00073,CUST-03697B03,CMP-005,Signature Credit Card,Organic_Web_Form,7,1000,15.99
OFFER-00074,CUST-0371FB46,CMP-003,Personal Loan,Cold_Bought_List,2,5000,17.99
OFFER-00075,CUST-037F1DE8,CMP-002,Personal Loan,Organic_Web_Form,9,20000,7.99
OFFER-00076,CUST-03852859,CMP-003,Signature Credit Card,Cold_Bought_List,1,1000,21.99
OFFER-00077,CUST-039985C5,CMP-007,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00078,CUST-039985C5,CMP-009,Personal Loan,Organic_Web_Form,1,6000,11.99
OFFER-00079,CUST-039C36EE,CMP-001,Signature Credit Card,Cold_Bought_List,1,1000,21.99
OFFER-00080,CUST-039C36EE,CMP-008,Signature Credit Card,Cold_Bought_List,2,1000,21.99
OFFER-00081,CUST-039CD87B,CMP-001,Signature Credit Card,Organic_Web_Form,4,1000,20.49
OFFER-00082,CUST-03B375FA,CMP-001,Signature Credit Card,Partner_Referral,9,10000,12.99
OFFER-00083,CUST-03BE1D7D,CMP-006,Personal Loan,Partner_Referral,4,6000,16.5
OFFER-00084,CUST-03C061D4,CMP-001,Personal Loan,Partner_Referral,9,40000,6.0
OFFER-00085,CUST-03CAD8CF,CMP-006,Personal Loan,Partner_Referral,4,6000,12.49
OFFER-00086,CUST-03D2462B,CMP-003,Signature Credit Card,Partner_Referral,10,7500,12.5
OFFER-00087,CUST-03D612B0,CMP-006,Personal Loan,Organic_Web_Form,9,30000,6.99
OFFER-00088,CUST-03D6FE86,CMP-001,Personal Loan,Cold_Bought_List,1,3000,17.99
OFFER-00089,CUST-03E2843D,CMP-001,Signature Credit Card,Cold_Bought_List,1,2000,24.99
OFFER-00090,CUST-03FFBDFC,CMP-002,Personal Loan,Organic_Web_Form,5,5000,12.49
OFFER-00091,CUST-040083E5,CMP-001,Signature Credit Card,Cold_Bought_List,4,1000,18.5
OFFER-00092,CUST-04201172,CMP-002,Personal Loan,Cold_Bought_List,3,10000,16.5
OFFER-00093,CUST-0443FE36,CMP-006,Personal Loan,Organic_Web_Form,4,5000,12.49
OFFER-00094,CUST-044A9862,CMP-002,Personal Loan,Organic_Web_Form,8,12000,8.49
OFFER-00095,CUST-044E1B07,CMP-001,Signature Credit Card,Partner_Referral,9,7500,14.99
OFFER-00096,CUST-046D5F73,CMP-008,Personal Loan,Cold_Bought_List,2,6000,21.99
OFFER-00097,CUST-04B22B75,CMP-001,Signature Credit Card,Organic_Web_Form,10,7500,14.99
OFFER-00098,CUST-04B4654B,CMP-003,Personal Loan,Organic_Web_Form,5,8000,11.49
OFFER-00099,CUST-04BD24CC,CMP-001,Signature Credit Card,Cold_Bought_List,7,6000,13.99
OFFER-00100,CUST-04E3B9E9,CMP-008,Personal Loan,Cold_Bought_List,2,5000,16.99
OFFER-00101,CUST-04EE7E38,CMP-008,Personal Loan,Organic_Web_Form,5,12000,9.99
OFFER-00102,CUST-04F04742,CMP-006,Personal Loan,Cold_Bought_List,4,6000,13.49
OFFER-00103,CUST-04F26EDD,CMP-002,Signature Credit Card,Partner_Referral,5,6000,15.99
OFFER-00104,CUST-04FBEE37,CMP-003,Signature Credit Card,Partner_Referral,10,7500,10.99
OFFER-00105,CUST-04FBEE37,CMP-009,Signature Credit Card,Partner_Referral,10,7500,10.99
OFFER-00106,CUST-05325F1B,CMP-002,Signature Credit Card,Organic_Web_Form,5,10000,14.99
OFFER-00107,CUST-0551659F,CMP-002,Personal Loan,Cold_Bought_List,2,3000,16.99
OFFER-00108,CUST-056C9976,CMP-003,Signature Credit Card,Cold_Bought_List,1,200,25.99
OFFER-00109,CUST-05A379C8,CMP-006,Personal Loan,Organic_Web_Form,4,8000,12.99
OFFER-00110,CUST-05A73D39,CMP-001,Signature Credit Card,Partner_Referral,8,7500,14.99
OFFER-00111,CUST-05AAB35F,CMP-002,Personal Loan,Organic_Web_Form,8,20000,6.99
OFFER-00112,CUST-05C13C11,CMP-003,Personal Loan,Organic_Web_Form,10,40000,7.5
OFFER-00113,CUST-05C27E6C,CMP-006,Personal Loan,Cold_Bought_List,4,8000,12.0
OFFER-00114,CUST-05C57729,CMP-003,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00115,CUST-05C98870,CMP-001,Signature Credit Card,Partner_Referral,6,4000,15.99
OFFER-00116,CUST-05C98870,CMP-009,Personal Loan,Cold_Bought_List,1,5000,18.99
OFFER-00117,CUST-05E36F68,CMP-002,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00118,CUST-06061BF2,CMP-005,Signature Credit Card,Partner_Referral,4,3000,21.99
OFFER-00119,CUST-0610CFD4,CMP-009,Personal Loan,Organic_Web_Form,5,8000,11.49
OFFER-00120,CUST-065042A6,CMP-001,Signature Credit Card,Cold_Bought_List,2,1000,21.99
OFFER-00121,CUST-065042A6,CMP-007,Signature Credit Card,Cold_Bought_List,2,500,21.99
OFFER-00122,CUST-065042A6,CMP-008,Signature Credit Card,Cold_Bought_List,2,1000,24.99
OFFER-00123,CUST-06521187,CMP-002,Signature Credit Card,Organic_Web_Form,8,10000,9.99
OFFER-00124,CUST-066068B2,CMP-002,Personal Loan,Partner_Referral,7,12000,8.49
OFFER-00125,CUST-06B75735,CMP-003,Signature Credit Card,Organic_Web_Form,10,10000,9.99
OFFER-00126,CUST-06C0A718,CMP-003,Personal Loan,Organic_Web_Form,5,7000,12.49
OFFER-00127,CUST-06C84361,CMP-002,Signature Credit Card,Cold_Bought_List,4,1500,18.49
OFFER-00128,CUST-06C84361,CMP-003,Signature Credit Card,Partner_Referral,10,7500,5.99
OFFER-00129,CUST-06C84361,CMP-009,Personal Loan,Partner_Referral,7,12000,8.49
OFFER-00130,CUST-06CC2059,CMP-006,Signature Credit Card,Organic_Web_Form,7,6000,13.49
OFFER-00131,CUST-06DEC9BC,CMP-001,Signature Credit Card,Organic_Web_Form,10,7500,14.99
OFFER-00132,CUST-06E1C9D8,CMP-005,Signature Credit Card,Organic_Web_Form,7,7500,11.99
OFFER-00133,CUST-06E30B92,CMP-003,Signature Credit Card,Cold_Bought_List,4,1500,18.49
OFFER-00134,CUST-06F2C39F,CMP-003,Signature Credit Card,Cold_Bought_List,1,1500,24.99
OFFER-00135,CUST-06F5153F,CMP-001,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00136,CUST-06F5153F,CMP-002,Personal Loan,Organic_Web_Form,7,20000,6.99
OFFER-00137,CUST-070194E2,CMP-006,Personal Loan,Cold_Bought_List,2,3000,16.49
OFFER-00138,CUST-071EB766,CMP-002,Personal Loan,Cold_Bought_List,2,5000,14.99
OFFER-00139,CUST-071FD58C,CMP-006,Personal Loan,Cold_Bought_List,2,5000,17.99
OFFER-00140,CUST-07281859,CMP-002,Personal Loan,Organic_Web_Form,5,5000,11.49
OFFER-00141,CUST-07281859,CMP-003,Personal Loan,Organic_Web_Form,10,25000,6.99
OFFER-00142,CUST-07281859,CMP-007,Personal Loan,Organic_Web_Form,10,25000,6.99
OFFER-00143,CUST-07281859,CMP-008,Signature Credit Card,Partner_Referral,9,1000,16.99
OFFER-00144,CUST-075A7765,CMP-001,Personal Loan,Organic_Web_Form,9,15000,7.99
OFFER-00145,CUST-076A9C12,CMP-006,Personal Loan,Organic_Web_Form,4,5000,12.49
OFFER-00146,CUST-0777367E,CMP-003,Signature Credit Card,Partner_Referral,10,7500,6.99
OFFER-00147,CUST-077C747F,CMP-002,Personal Loan,Organic_Web_Form,5,20000,9.49
OFFER-00148,CUST-07D9E62C,CMP-002,Personal Loan,Cold_Bought_List,3,2000,18.99
OFFER-00149,CUST-07DF0D21,CMP-003,Personal Loan,Organic_Web_Form,7,25000,7.99
OFFER-00150,CUST-07EA6318,CMP-004,Signature Credit Card,Organic_Web_Form,10,7500,10.99
OFFER-00151,CUST-07EA6318,CMP-005,Signature Credit Card,Partner_Referral,7,7500,14.0
OFFER-00152,CUST-081041A6,CMP-001,Signature Credit Card,Organic_Web_Form,10,30000,12.99
OFFER-00153,CUST-081E1F85,CMP-002,Signature Credit Card,Cold_Bought_List,3,1000,21.99
OFFER-00154,CUST-081F3DFF,CMP-002,Personal Loan,Cold_Bought_List,5,5000,11.49
OFFER-00155,CUST-082CAA60,CMP-009,Personal Loan,Cold_Bought_List,1,1500,22.0
OFFER-00156,CUST-0837D316,CMP-002,Personal Loan,Organic_Web_Form,4,5000,14.99
OFFER-00157,CUST-0837D316,CMP-008,Personal Loan,Organic_Web_Form,10,30000,5.99
OFFER-00158,CUST-083C2C7F,CMP-006,Signature Credit Card,Organic_Web_Form,7,6000,16.49
OFFER-00159,CUST-0860964F,CMP-002,Personal Loan,Organic_Web_Form,5,5000,11.99
OFFER-00160,CUST-087058D0,CMP-002,Signature Credit Card,Cold_Bought_List,1,2500,22.99
OFFER-00161,CUST-087A9745,CMP-003,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00162,CUST-087A9745,CMP-009,Personal Loan,Partner_Referral,9,12000,9.49
OFFER-00163,CUST-0892931A,CMP-007,Personal Loan,Organic_Web_Form,9,20000,6.99
OFFER-00164,CUST-0893F7D2,CMP-007,Personal Loan,Cold_Bought_List,2,8000,19.0
OFFER-00165,CUST-08FABADD,CMP-001,Personal Loan,Cold_Bought_List,7,12000,9.99
OFFER-00166,CUST-090B608A,CMP-006,Personal Loan,Organic_Web_Form,4,15000,12.5
OFFER-00167,CUST-091B8BA0,CMP-003,Personal Loan,Organic_Web_Form,4,5000,12.5
OFFER-00168,CUST-09689F9A,CMP-006,Personal Loan,Partner_Referral,9,20000,6.99
OFFER-00169,CUST-097D2721,CMP-001,Signature Credit Card,Cold_Bought_List,1,1000,24.99
OFFER-00170,CUST-097F47F6,CMP-002,Personal Loan,Cold_Bought_List,2,8000,19.99
OFFER-00171,CUST-097F47F6,CMP-003,Signature Credit Card,Cold_Bought_List,2,1000,21.99
OFFER-00172,CUST-097F47F6,CMP-005,Personal Loan,Cold_Bought_List,4,20000,17.25
OFFER-00173,CUST-098F809E,CMP-007,Personal Loan,Organic_Web_Form,9,25000,6.99
OFFER-00174,CUST-09955E02,CMP-001,Signature Credit Card,Cold_Bought_List,4,2000,18.49
OFFER-00175,CUST-09A1B702,CMP-001,Personal Loan,Cold_Bought_List,4,3000,16.99
OFFER-00176,CUST-09B69BD3,CMP-005,Signature Credit Card,Cold_Bought_List,2,1000,21.99
OFFER-00177,CUST-09BC9D2F,CMP-007,Signature Credit Card,Cold_Bought_List,4,8000,16.5
OFFER-00178,CUST-09BF1B89,CMP-003,Signature Credit Card,Partner_Referral,10,10000,12.49
OFFER-00179,CUST-09CC8500,CMP-002,Personal Loan,Organic_Web_Form,1,2000,14.99
OFFER-00180,CUST-09D6C629,CMP-001,Signature Credit Card,Cold_Bought_List,4,3000,18.49
OFFER-00181,CUST-09D74732,CMP-002,Personal Loan,Cold_Bought_List,1,3000,22.99
OFFER-00182,CUST-09D74732,CMP-004,Personal Loan,Cold_Bought_List,1,3000,24.99
OFFER-00183,CUST-09D9C00D,CMP-008,Signature Credit Card,Partner_Referral,10,9000,11.99
OFFER-00184,CUST-09F0D55F,CMP-002,Signature Credit Card,Organic_Web_Form,6,7500,16.5
OFFER-00185,CUST-0A0A439C,CMP-002,Personal Loan,Cold_Bought_List,5,12000,10.99
OFFER-00186,CUST-0A1F7A7E,CMP-001,Signature Credit Card,Cold_Bought_List,1,1000,21.99
OFFER-00187,CUST-0A255E6A,CMP-002,Signature Credit Card,Partner_Referral,10,10000,5.99
OFFER-00188,CUST-0A255E6A,CMP-003,Signature Credit Card,Organic_Web_Form,10,10000,6.99
OFFER-00189,CUST-0A255E6A,CMP-007,Signature Credit Card,Cold_Bought_List,1,1000,22.99
OFFER-00190,CUST-0A255E6A,CMP-009,Personal Loan,Partner_Referral,10,30000,5.99
OFFER-00191,CUST-0A255E6A,CMP-010,Signature Credit Card,Partner_Referral,7,6000,11.99
OFFER-00192,CUST-0A5897F2,CMP-003,Personal Loan,Cold_Bought_List,5,12000,11.49
OFFER-00193,CUST-0A9C7B37,CMP-002,Personal Loan,Organic_Web_Form,7,20000,6.99
OFFER-00194,CUST-0AB214F8,CMP-008,Signature Credit Card,Organic_Web_Form,5,1000,16.99
OFFER-00195,CUST-0AB909E9,CMP-002,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00196,CUST-0ABC2107,CMP-001,Signature Credit Card,Organic_Web_Form,4,1500,16.99
OFFER-00197,CUST-0ABC2107,CMP-007,Signature Credit Card,Organic_Web_Form,8,10000,12.99
OFFER-00198,CUST-0AFD67AD,CMP-001,Signature Credit Card,Partner_Referral,5,3000,16.99
OFFER-00199,CUST-0B017B31,CMP-003,Personal Loan,Cold_Bought_List,1,1000,24.99
OFFER-00200,CUST-0B051D26,CMP-003,Personal Loan,Organic_Web_Form,7,8000,6.99
OFFER-00201,CUST-0B26A66C,CMP-008,Personal Loan,Organic_Web_Form,5,8000,10.5
OFFER-00202,CUST-0B28A141,CMP-007,Personal Loan,Partner_Referral,9,20000,6.99
OFFER-00203,CUST-0B5B85E2,CMP-003,Signature Credit Card,Cold_Bought_List,2,1000,21.99
OFFER-00204,CUST-0B7D190A,CMP-001,Personal Loan,Organic_Web_Form,4,5000,15.5
OFFER-00205,CUST-0B8CC058,CMP-002,Signature Credit Card,Cold_Bought_List,6,4000,16.99
OFFER-00206,CUST-0B90AF3B,CMP-006,Personal Loan,Partner_Referral,10,30000,6.99
OFFER-00207,CUST-0B982253,CMP-007,Signature Credit Card,Cold_Bought_List,1,500,24.99
OFFER-00208,CUST-0BA5A5AA,CMP-006,Personal Loan,Cold_Bought_List,2,3000,15.49
OFFER-00209,CUST-0BD3CFC4,CMP-002,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00210,CUST-0BD3CFC4,CMP-008,Signature Credit Card,Organic_Web_Form,7,7500,14.99
OFFER-00211,CUST-0BDCE8E6,CMP-003,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00212,CUST-0BEE0FF7,CMP-007,Signature Credit Card,Organic_Web_Form,8,4000,13.99
OFFER-00213,CUST-0BF64987,CMP-009,Personal Loan,Cold_Bought_List,1,7500,29.99
OFFER-00214,CUST-0C17AB89,CMP-003,Personal Loan,Partner_Referral,10,20000,6.99
OFFER-00215,CUST-0C348FD8,CMP-002,Signature Credit Card,Partner_Referral,7,10000,11.99
OFFER-00216,CUST-0C3D5224,CMP-008,Signature Credit Card,Partner_Referral,10,10000,14.0
OFFER-00217,CUST-0C42DA21,CMP-001,Personal Loan,Organic_Web_Form,10,25000,6.49
OFFER-00218,CUST-0C49CD18,CMP-010,Personal Loan,Organic_Web_Form,9,20000,6.99
OFFER-00219,CUST-0C4A1734,CMP-002,Personal Loan,Organic_Web_Form,8,12000,9.49
OFFER-00220,CUST-0C5C8C0F,CMP-002,Personal Loan,Organic_Web_Form,5,5000,12.49
OFFER-00221,CUST-0C5E1458,CMP-004,Signature Credit Card,Cold_Bought_List,1,2000,22.99
OFFER-00222,CUST-0C673B1A,CMP-003,Signature Credit Card,Cold_Bought_List,3,2000,18.99
OFFER-00223,CUST-0C6978BA,CMP-006,Personal Loan,Cold_Bought_List,2,3000,14.99
OFFER-00224,CUST-0C7385DD,CMP-006,Personal Loan,Organic_Web_Form,9,12000,8.49
OFFER-00225,CUST-0C94F9AA,CMP-001,Personal Loan,Partner_Referral,9,20000,6.99
OFFER-00226,CUST-0CCCB374,CMP-006,Personal Loan,Partner_Referral,4,12000,16.99
OFFER-00227,CUST-0CE0A80A,CMP-002,Personal Loan,Organic_Web_Form,7,20000,9.49
OFFER-00228,CUST-0CE29B45,CMP-002,Personal Loan,Cold_Bought_List,1,2000,18.49
OFFER-00229,CUST-0CE3ECAF,CMP-009,Personal Loan,Organic_Web_Form,5,8000,11.49
OFFER-00230,CUST-0CE454B0,CMP-009,Personal Loan,Organic_Web_Form,8,12000,8.49
OFFER-00231,CUST-0CF6EF1A,CMP-003,Signature Credit Card,Partner_Referral,5,7500,16.99
OFFER-00232,CUST-0D0AF3C7,CMP-003,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00233,CUST-0D25D199,CMP-001,Signature Credit Card,Cold_Bought_List,2,500,24.99
OFFER-00234,CUST-0D26FBF7,CMP-002,Personal Loan,Organic_Web_Form,2,5000,12.99
OFFER-00235,CUST-0D27B867,CMP-009,Signature Credit Card,Cold_Bought_List,4,1500,18.49
OFFER-00236,CUST-0D40025A,CMP-007,Personal Loan,Cold_Bought_List,4,6000,13.49
OFFER-00237,CUST-0D4F6D59,CMP-003,Signature Credit Card,Partner_Referral,7,3000,14.49
OFFER-00238,CUST-0D740138,CMP-001,Signature Credit Card,Cold_Bought_List,2,500,21.99
OFFER-00239,CUST-0D8EE3A0,CMP-006,Personal Loan,Organic_Web_Form,5,5000,10.99
OFFER-00240,CUST-0D91478E,CMP-003,Signature Credit Card,Partner_Referral,5,4000,17.49
OFFER-00241,CUST-0DC41DD3,CMP-007,Signature Credit Card,Cold_Bought_List,2,1000,24.99
OFFER-00242,CUST-0DC8D152,CMP-003,Signature Credit Card,Cold_Bought_List,2,2000,17.99
OFFER-00243,CUST-0DE05A22,CMP-003,Personal Loan,Organic_Web_Form,5,5000,12.5
OFFER-00244,CUST-0DE9A79A,CMP-009,Personal Loan,Partner_Referral,10,25000,6.99
OFFER-00245,CUST-0DF3FD34,CMP-003,Signature Credit Card,Partner_Referral,10,7500,11.99
OFFER-00246,CUST-0DFE6A6C,CMP-006,Personal Loan,Cold_Bought_List,4,4000,18.99
OFFER-00247,CUST-0DFF94AD,CMP-002,Personal Loan,Organic_Web_Form,8,20000,6.99
OFFER-00248,CUST-0DFF94AD,CMP-003,Personal Loan,Organic_Web_Form,7,20000,6.99
OFFER-00249,CUST-0E026A2A,CMP-003,Signature Credit Card,Partner_Referral,5,4000,17.99
OFFER-00250,CUST-0E064C19,CMP-001,Signature Credit Card,Cold_Bought_List,4,1000,18.99
OFFER-00251,CUST-0E0C9A2A,CMP-001,Signature Credit Card,Cold_Bought_List,4,1000,18.99
OFFER-00252,CUST-0E13419D,CMP-001,Signature Credit Card,Cold_Bought_List,1,2000,24.99
OFFER-00253,CUST-0E1A992E,CMP-006,Personal Loan,Cold_Bought_List,2,3000,21.99
OFFER-00254,CUST-0E1BB7B5,CMP-002,Personal Loan,Organic_Web_Form,2,8000,14.99
OFFER-00255,CUST-0E215CEE,CMP-001,Signature Credit Card,Cold_Bought_List,2,500,21.99
OFFER-00256,CUST-0E215CEE,CMP-007,Signature Credit Card,Cold_Bought_List,2,500,21.99
OFFER-00257,CUST-0E5A38F6,CMP-003,Signature Credit Card,Partner_Referral,10,7500,12.99
OFFER-00258,CUST-0E5E42B1,CMP-002,Personal Loan,Organic_Web_Form,5,12000,9.99
OFFER-00259,CUST-0E5F8FA8,CMP-002,Personal Loan,Organic_Web_Form,5,7000,12.49
OFFER-00260,CUST-0E84E0F6,CMP-002,Personal Loan,Cold_Bought_List,8,20000,15.0
OFFER-00261,CUST-0EAB8394,CMP-006,Personal Loan,Partner_Referral,9,20000,6.99
OFFER-00262,CUST-0EAD1FAA,CMP-006,Personal Loan,Cold_Bought_List,4,8000,11.49
OFFER-00263,CUST-0EAE53D4,CMP-010,Signature Credit Card,Partner_Referral,8,4000,14.49
OFFER-00264,CUST-0ECB1229,CMP-007,Personal Loan,Cold_Bought_List,2,5000,21.5
OFFER-00265,CUST-0ED265C7,CMP-002,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00266,CUST-0ED265C7,CMP-007,Personal Loan,Organic_Web_Form,10,20000,6.99
OFFER-00267,CUST-0ED88E39,CMP-008,Personal Loan,Cold_Bought_List,2,5000,14.99
OFFER-00268,CUST-0EDB8A71,CMP-003,Business Loan,Cold_Bought_List,8,75000,9.5
OFFER-00269,CUST-0EDCC449,CMP-002,Personal Loan,Organic_Web_Form,2,5000,14.99
OFFER-00270,CUST-0EE08AD3,CMP-003,Personal Loan,Organic_Web_Form,7,20000,6.99
OFFER-00271,CUST-0EF71839,CMP-002,Personal Loan,Organic_Web_Form,2,3000,14.5
OFFER-00272,CUST-0F1A09D5,CMP-002,Personal Loan,Partner_Referral,9,8000,6.99
OFFER-00273,CUST-0F2341DD,CMP-001,Signature Credit Card,Cold_Bought_List,4,4000,17.99
OFFER-00274,CUST-0F3C8BE5,CMP-008,Personal Loan,Organic_Web_Form,5,12000,9.99
